nflId,height,weight,birthDate,collegeName,officialPosition,displayName,height_inches,age
39968,6-0,190,1990-09-10,Washington,CB,Desmond Trufant,72.0,34
39971,6-1,218,1990-06-19,Florida State,CB,Xavier Rhodes,73.0,34
39973,6-1,212,1992-06-06,Clemson,WR,DeAndre Hopkins,73.0,32
39975,6-2,238,1991-03-17,Tennessee,RB,Cordarrelle Patterson,74.0,33
39976,6-2,235,1991-09-25,Georgia,ILB,Alec Ogletree,74.0,33
39983,6-5,250,1990-11-10,Stanford,TE,Zach Ertz,77.0,34
39984,6-0,190,1991-01-01,Mississippi State,CB,Darius Slay,72.0,33
39985,5-9,205,1991-11-22,North Carolina,RB,Giovani Bernard,69.0,33
39987,6-3,221,1990-10-10,West Virginia,QB,Geno Smith,75.0,34
39989,6-0,193,1992-04-10,Southern California,WR,Robert Woods,72.0,32
39993,6-0,246,1990-12-03,Louisiana State,ILB,Kevin Minter,72.0,34
39996,6-1,225,1992-02-18,Michigan State,RB,Le'Veon Bell,73.0,32
39997,6-3,340,1992-03-30,Ohio State,NT,Johnathan Hankins,75.0,32
39998,6-1,245,1991-05-05,Florida,OLB,Jon Bostic,73.0,33
40000,6-3,255,1989-10-20,Southern Mississippi,OLB,Jamie Collins,75.0,35
40001,6-8,295,1987-07-14,Southern Methodist,DT,Margus Hunt,80.0,37
40008,5-10,186,1988-11-01,Southeastern Louisiana,CB,Robert Alford,70.0,36
40011,6-5,260,1989-10-05,Cincinnati,TE,Travis Kelce,77.0,35
40017,5-9,190,1992-05-13,Louisiana State,SS,Tyrann Mathieu,69.0,32
40020,6-4,320,1991-07-10,Kent State,G,Brian Winters,76.0,33
40021,6-7,225,1989-12-12,North Carolina State,QB,Mike Glennon,79.0,35
40023,6-5,304,1991-07-23,Arkansas-Pine Bluff,T,Terron Armstead,77.0,33
40024,6-2,211,1992-04-27,California,WR,Keenan Allen,74.0,32
40026,5-9,179,1990-11-19,Texas,WR,Marquise Goodwin,69.0,34
40030,6-3,327,1989-07-11,Georgia,NT,John Jenkins,75.0,35
40031,5-11,195,1991-02-09,Rutgers,FS,Logan Ryan,71.0,33
40039,6-1,205,1991-01-24,Rutgers,SS,Duron Harmon,73.0,33
40042,6-1,336,1989-02-21,Missouri Southern,NT,Brandon Williams,73.0,35
40051,6-4,260,1991-02-08,Texas,DE,Alex Okafor,76.0,33
40070,6-4,307,1991-02-12,Cornell,C,J.C. Tretter,76.0,33
40074,6-6,281,1991-07-31,Michigan State,DE,William Gholston,78.0,33
40077,6-2,260,1990-10-14,Ohio State,DE,John Simon,74.0,34
40078,6-1,240,1991-04-23,Harvard,FB,Kyle Juszczyk,73.0,33
40089,6-5,315,1991-06-05,Virginia,G,Oday Aboushi,77.0,33
40092,6-1,202,1992-04-22,Oklahoma,WR,Kenny Stills,73.0,32
40095,6-3,263,1990-09-16,Buffalo,OLB,Steven Means,75.0,34
40096,6-1,240,1991-07-30,Iowa State,OLB,A.J. Klein,73.0,33
40107,6-0,197,1990-12-31,Iowa,FS,Micah Hyde,72.0,33
40124,6-5,310,1990-08-24,San Jose State,G,David Quessenberry,77.0,34
40129,6-3,230,1990-01-18,Central Florida,RB,Latavius Murray,75.0,34
40138,5-10,215,1990-07-02,Nebraska,RB,Rex Burkhead,70.0,34
40149,6-6,255,1990-01-11,Connecticut,TE,Ryan Griffin,78.0,34
40151,6-4,319,1991-05-27,Colorado State-Pueblo,C,Ryan Jensen,76.0,33
40166,6-0,191,1991-04-25,Oregon State,SS,Jordan Poyer,72.0,33
40171,6-4,309,1990-02-21,Samford,DE,Nicholas Williams,76.0,34
40253,6-3,249,1990-08-26,Florida,DE,Lerentee McCray,75.0,34
40347,6-3,328,1991-04-20,Wyoming,NT,Mike Purcell,75.0,33
40353,6-2,196,1989-10-02,Northern Illinois,CB,Rashaan Melvin,74.0,35
40416,6-4,295,1991-04-23,Alabama-Birmingham,T,Christopher Hubbard,76.0,33
40463,6-3,263,1991-07-02,Pennsylvania,OLB,Brandon Copeland,75.0,33
40488,6-2,200,1990-08-22,Minn. State-Mankato,WR,Adam Thielen,74.0,34
40608,6-2,293,1989-02-06,Alabama,NT,Damion Square,74.0,35
40615,6-7,230,1991-07-29,Wisconsin-Milwaukee,TE,Demetrius Harris,79.0,33
40621,6-1,215,1990-11-15,Kansas,SS,Bradley McDougald,73.0,34
40641,6-6,262,1990-05-05,Western Kentucky,TE,Jack Doyle,78.0,34
40688,6-0,191,1991-08-16,Central Florida,CB,A.J. Bouye,72.0,33
40825,6-3,265,1991-08-03,Idaho,OLB,Benson Mayowa,75.0,33
41069,6-2,300,1989-06-05,Iowa,C,James Ferentz,74.0,35
41222,6-9,320,1988-09-22,Army,T,Alejandro Villanueva,81.0,36
41227,6-5,255,1993-02-14,South Carolina,DE,Jadeveon Clowney,77.0,31
41230,6-1,211,1993-06-14,Clemson,WR,Sammy Watkins,73.0,31
41231,6-3,269,1991-02-22,Buffalo,OLB,Khalil Mack,75.0,33
41232,6-5,309,1992-02-11,Texas A&amp;M,T,Jake Matthews,77.0,32
41233,6-5,231,1993-08-21,Texas A&amp;M,WR,Mike Evans,77.0,31
41235,6-5,255,1992-03-18,UCLA,OLB,Anthony Barr,77.0,32
41236,6-4,253,1993-04-10,North Carolina,TE,Eric Ebron,76.0,31
41237,6-7,309,1991-07-22,Michigan,T,Taylor Lewan,79.0,33
41238,5-11,198,1992-11-05,Louisiana State,WR,Odell Beckham,71.0,32
41239,6-1,280,1991-05-23,Pittsburgh,DT,Aaron Donald,73.0,33
41240,5-11,194,1992-02-16,Virginia Tech,CB,Kyle Fuller,71.0,32
41242,6-4,315,1990-11-20,Notre Dame,G,Zack Martin,76.0,34
41243,6-2,250,1992-06-19,Alabama,ILB,C.J. Mosley,74.0,32
41246,5-10,183,1993-09-25,Oregon State,WR,Brandin Cooks,70.0,31
41249,6-2,252,1991-03-19,Auburn,DE,Dee Ford,74.0,33
41251,5-10,188,1991-06-18,Texas Christian,CB,Jason Verrett,70.0,33
41256,5-11,193,1991-07-18,Northern Illinois,FS,Jimmie Ward,71.0,33
41257,5-11,194,1992-05-01,Ohio State,CB,Bradley Roby,71.0,32
41258,6-2,215,1992-11-10,Louisville,QB,Teddy Bridgewater,74.0,32
41262,6-4,310,1991-01-01,UCLA,G,Xavier Su'a-Filo,76.0,33
41263,6-3,265,1992-04-28,Boise State,DE,Demarcus Lawrence,75.0,32
41264,6-4,320,1991-10-11,Nevada,G,Joel Bitonio,76.0,33
41265,6-3,210,1991-03-28,Fresno State,QB,Derek Carr,75.0,33
41269,6-3,250,1991-03-26,Brigham Young,OLB,Kyle Van Noy,75.0,33
41270,5-8,185,1990-11-27,Florida State,SS,Lamarcus Joyner,68.0,34
41279,6-3,252,1993-01-17,Georgia Tech,OLB,Jeremiah Attaochu,75.0,31
41282,6-1,215,1992-12-24,Fresno State,WR,Davante Adams,73.0,31
41286,6-0,229,1990-09-20,Ohio State,RB,Carlos Hyde,72.0,34
41290,6-2,220,1993-08-24,Penn State,WR,Allen Robinson,74.0,31
41291,6-2,225,1991-11-02,Eastern Illinois,QB,Jimmy Garoppolo,74.0,33
41292,5-11,196,1992-11-28,Louisiana State,WR,Jarvis Landry,71.0,32
41293,6-6,315,1991-05-29,Missouri,C,Justin Britt,78.0,33
41295,6-6,330,1991-03-03,Virginia,T,Morgan Moses,78.0,33
41296,6-5,310,1991-10-17,North Dakota State,T,Billy Turner,77.0,33
41300,6-2,235,1992-08-31,Iowa,OLB,Christian Kirksey,74.0,32
41308,5-11,205,1992-03-02,Florida State,SS,Terrence Brooks,71.0,32
41310,6-3,336,1991-07-12,Mississippi State,G,Gabe Jackson,75.0,33
41320,5-11,179,1990-04-03,Pittsburg State,WR,John Brown,71.0,34
41321,6-3,315,1993-06-14,Louisiana State,G,Trai Turner,75.0,31
41322,6-6,315,1992-01-25,Miami,G,Brandon Linder,78.0,32
41324,6-6,301,1990-11-15,Michigan,G,Michael Schofield,78.0,34
41325,5-9,205,1992-05-03,Georgia Southern,RB,Jerick McKinnon,69.0,32
41327,6-4,257,1992-01-22,California,TE,Richard Rodgers,76.0,32
41331,5-11,195,1992-01-30,Clemson,CB,Bashaud Breeland,71.0,32
41332,5-8,206,1992-03-15,Florida State,RB,Devonta Freeman,68.0,32
41336,6-2,350,1990-12-27,Louisiana Tech,DT,Justin Ellis,74.0,33
41338,6-0,191,1991-08-06,Duke,CB,Ross Cockrell,72.0,33
41341,6-4,322,1991-12-27,Penn State,DT,DaQuan Jones,76.0,32
41348,6-0,235,1992-06-10,Iowa,ILB,Anthony Hitchens,72.0,32
41349,6-6,250,1991-07-01,Virginia Tech,TE,Logan Thomas,78.0,33
41356,6-1,192,1990-09-08,Lindenwood,CB,Pierre Desir,73.0,34
41358,6-2,200,1991-12-01,North Carolina State,CB,Dontae Johnson,74.0,33
41359,5-10,205,1992-02-03,Wisconsin,RB,James White,70.0,32
41361,6-0,230,1991-10-07,Boston College,OLB,Kevin Pierre-Louis,72.0,33
41362,5-9,192,1991-04-23,Utah State,CB,Nevin Lawson,69.0,33
41363,6-7,300,1991-05-05,Virginia,DE,Brent Urban,79.0,33
41376,5-9,186,1991-12-18,Purdue,SS,Ricardo Allen,69.0,33
41387,6-2,292,1991-11-23,Princeton,DT,Caraun Reid,74.0,33
41390,6-3,301,1991-07-27,Ohio State,C,Corey Linsley,75.0,33
41403,6-3,256,1991-06-24,Southern California,OLB,Devon Kennard,75.0,33
41436,6-3,300,1989-10-12,Boise State,C,Matt Paradis,75.0,35
41448,6-0,204,1990-07-28,Ohio,CB,T.J. Carrie,72.0,34
41449,6-5,310,1991-02-25,Connecticut,DE,Shamar Stephen,77.0,33
41464,6-2,290,1991-08-11,Illinois State,DE,Shelby Harris,74.0,33
41475,6-3,305,1991-10-09,Boise State,T,Charles Leno,75.0,33
41483,5-11,190,1992-05-17,Oregon,CB,Terrance Mitchell,71.0,32
41500,5-11,205,1992-10-17,Ball State,WR,Willie Snead,71.0,32
41502,6-2,208,1990-03-05,Brigham Young,FS,Daniel Sorensen,74.0,34
41506,5-9,195,1992-07-12,Georgia State,WR,Albert Wilson,69.0,32
41532,6-5,310,1991-12-17,North Carolina,T,James Hurst,77.0,33
41563,6-8,328,1991-07-18,Kansas State,T,Cornelius Lucas,80.0,33
41595,6-4,332,1991-05-09,Colorado State-Pueblo,NT,Mike Pennel,76.0,33
41599,6-1,232,1991-05-06,South Carolina State,ILB,Joe Thomas,73.0,33
41619,6-3,316,1992-07-06,Texas,C,Trey Hopkins,75.0,32
41630,6-3,317,1992-05-31,Central Florida,C,Justin McCray,75.0,32
41665,6-3,310,1991-05-05,Clemson,G,Tyler Shatley,75.0,33
41667,6-6,306,1991-02-14,James Madison,T,Josh Wells,78.0,33
41707,6-4,325,1991-07-08,Utah State,C,Tyler Larsen,76.0,33
41712,5-11,224,1992-04-03,Oklahoma,RB,Damien Williams,71.0,32
41722,6-6,290,1991-02-17,Stanford,DE,Josh Mauro,78.0,33
41786,6-2,270,1991-05-02,Texas Tech,DE,Kerry Hyder,74.0,33
41808,6-0,240,1992-04-08,San Jose State,FB,Keith Smith,72.0,32
41915,6-2,250,1992-11-17,Colorado State,OLB,Shaquil Barrett,74.0,32
41919,6-2,334,1990-08-29,Delaware,DT,Zach Kerr,74.0,34
41939,6-6,325,1991-10-25,Ohio State,G,Andrew Norwell,78.0,33
41947,6-3,250,1991-02-18,Florida State,ILB,Christian Jones,75.0,33
41959,6-6,330,1992-07-07,Bloomsburg,G,Matt Feiler,78.0,32
42030,5-9,183,1991-07-12,Pittsburgh,CB,K'Waun Williams,69.0,33
42031,6-5,285,1990-07-15,Mississippi State,DE,Denico Autry,77.0,34
42033,6-5,245,1991-07-03,Harvard,TE,Cameron Brate,77.0,33
42051,5-8,170,1992-03-19,McNeese State,WR,Diontae Spencer,68.0,32
42116,5-11,210,1992-03-28,Texas,SS,Adrian Phillips,71.0,32
42302,6-6,255,1992-04-10,Canisius,TE,Chris Manhertz,78.0,32
42331,6-6,265,1992-04-13,No College,DE,Efe Obada,78.0,32
42344,6-4,231,1994-01-06,Florida State,QB,Jameis Winston,76.0,30
42346,6-3,255,1994-08-03,Florida,OLB,Dante Fowler,75.0,30
42347,6-1,211,1994-06-17,Alabama,WR,Amari Cooper,73.0,30
42348,6-5,315,1991-12-26,Iowa,G,Brandon Scherff,77.0,32
42349,6-5,302,1994-06-20,Southern California,DT,Leonard Williams,77.0,30
42350,6-3,216,1992-06-25,West Virginia,WR,Kevin White,75.0,32
42352,6-6,329,1994-04-25,Miami,G,Ereck Flowers,78.0,30
42354,6-0,190,1992-07-25,Michigan State,CB,Trae Waynes,72.0,32
42355,6-2,345,1993-08-20,Washington,NT,Danny Shelton,74.0,31
42356,6-7,316,1993-11-04,Stanford,G,Andrus Peat,79.0,31
42357,6-3,216,1993-01-20,Louisville,WR,DeVante Parker,75.0,31
42358,6-1,215,1993-04-13,Wisconsin,RB,Melvin Gordon,73.0,31
42360,6-7,292,1993-11-15,Oregon,DE,Arik Armstead,79.0,31
42362,6-5,313,1992-08-23,Florida State,T,Cameron Erving,77.0,32
42363,6-0,198,1993-05-24,Southern California,WR,Nelson Agholor,72.0,31
42364,6-5,310,1992-04-25,Texas A&amp;M,T,Cedric Ogbuehi,77.0,32
42365,6-4,269,1993-02-12,Kentucky,OLB,Bud Dupree,76.0,31
42367,6-5,307,1993-12-28,Florida,T,D.J. Humphries,77.0,30
42368,6-0,230,1994-04-21,Washington,OLB,Shaq Thompson,72.0,30
42370,6-0,205,1992-09-26,Connecticut,CB,Byron Jones,72.0,32
42371,6-3,312,1992-02-09,Duke,G,Laken Tomlinson,75.0,32
42372,5-10,192,1993-01-05,Miami,WR,Phillip Dorsett,70.0,31
42375,6-2,320,1994-02-02,Texas,DT,Malcom Brown,74.0,30
42376,6-0,218,1994-01-10,Alabama,SS,Landon Collins,72.0,30
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,78.0,31
42378,6-3,280,1994-01-25,Florida State,DT,Mario Edwards,75.0,30
42380,6-1,199,1992-03-03,Ohio State,WR,Devin Smith,73.0,32
42381,6-5,265,1992-11-17,Mississippi State,OLB,Preston Smith,77.0,32
42382,6-3,320,1994-01-06,Florida State,NT,Eddie Goldman,75.0,30
42386,6-4,257,1992-11-19,Mississippi State,ILB,Benardrick McKinney,76.0,32
42388,6-0,232,1992-02-29,UCLA,ILB,Eric Kendricks,72.0,32
42389,6-1,215,1992-02-12,Samford,SS,Jaquiski Tartt,73.0,32
42390,6-1,205,1992-10-03,Utah,SS,Eric Rowe,73.0,32
42391,5-11,240,1992-12-05,Miami,ILB,Denzel Perryman,71.0,32
42392,6-6,305,1992-04-21,Missouri,C,Mitch Morse,78.0,32
42393,5-11,193,1994-01-02,Florida State,CB,Ronald Darby,71.0,30
42395,6-6,341,1992-09-21,Oklahoma,DE,Jordan Phillips,78.0,32
42397,5-9,203,1993-06-13,Nebraska,RB,Ameer Abdullah,69.0,31
42398,6-4,252,1994-04-12,Minnesota,TE,Maxx Williams,76.0,30
42400,6-8,328,1992-05-13,Wisconsin,T,Rob Havenstein,80.0,32
42401,6-3,260,1991-03-13,Missouri,OLB,Markus Golden,75.0,33
42402,6-5,315,1992-03-10,Colorado State,T,Ty Sambrailo,77.0,32
42403,6-5,255,1992-11-23,Nebraska,DE,Randy Gregory,77.0,32
42404,6-4,307,1993-04-17,Hobart,G,Ali Marpet,76.0,31
42406,6-3,260,1993-06-14,Michigan,DE,Frank Clark,75.0,31
42410,6-3,325,1991-10-03,South Carolina,G,A.J. Cann,75.0,33
42412,5-10,182,1992-09-28,Kansas State,WR,Tyler Lockett,70.0,32
42416,6-1,210,1993-04-16,Indiana,RB,Tevin Coleman,73.0,31
42419,6-3,205,1992-10-25,Georgia,WR,Chris Conley,75.0,32
42421,6-0,196,1993-06-01,Florida State,CB,P.J. Williams,72.0,31
42424,6-3,315,1993-08-12,Louisville,G,John Miller,75.0,31
42427,6-1,236,1992-06-27,Texas,ILB,Jordan Hicks,73.0,32
42428,6-6,250,1992-10-15,Rutgers,TE,Tyler Kroft,78.0,32
42429,6-1,224,1991-12-16,Northern Iowa,RB,David Johnson,73.0,33
42431,6-5,252,1994-10-29,Louisiana State,DE,Danielle Hunter,77.0,30
42433,6-5,320,1992-03-02,Iowa,NT,Carl Davis,77.0,32
42436,6-6,301,1991-08-03,Stanford,DE,Henry Anderson,78.0,33
42437,6-0,216,1993-01-22,Stanford,WR,Ty Montgomery,72.0,31
42441,5-11,194,1993-01-22,Oregon State,CB,Steven Nelson,71.0,31
42443,6-4,318,1992-11-14,Auburn,DT,Angelo Blackson,76.0,32
42444,6-2,265,1993-08-16,Arkansas,OLB,Trey Flowers,74.0,31
42445,6-6,330,1992-08-31,Oklahoma,T,Daryl Williams,78.0,32
42448,5-9,177,1993-06-17,Duke,WR,Jamison Crowder,69.0,31
42460,6-6,252,1991-08-07,Oklahoma,TE,Blake Bell,78.0,33
42465,6-4,272,1992-09-08,Kentucky,OLB,Za'Darius Smith,76.0,32
42467,6-1,227,1994-08-03,Louisiana State,OLB,Kwon Alexander,73.0,30
42469,5-9,221,1993-02-19,South Carolina,RB,Mike Davis,69.0,31
42470,6-0,243,1993-05-28,Minnesota,OLB,Damien Wilson,72.0,31
